Year,Number of institutions reporting,Total interest income,  Domestic office loans,  Lease financing receivables,  Balances due from depository institutions,  Securities,  Trading accounts,  Federal funds sold,Total interest expense,  Domestic office deposits,  Federal funds purchased,  Trading liabilities and other borrowed money,Net interest income,Total noninterest income,  Service charges on deposit accounts,  Trading account gains and fees,Total noninterest expense,  Salaries and employee benefits,  Premises and equipment expense,  Other noninterest expense,    Amortization expense and goodwill impairment losses,Securities gains (losses),Income (loss) before income taxes and extraordinary items,Applicable income taxes,"Extraordinary gains (losses), net",Net income (loss) attributable to bank,Cash dividends,Retained earnings,Net operating income,Number of unprofitable institutions,Number of institutions with year-over-year earnings gains
1984,"17,901","358,514","226,909","2,170","16,924","65,487","2,398","10,958","257,029","190,289","19,744","21,050","90,312","37,954","6,753","1,522","94,736","44,784","15,530","34,376",911,"2,409","22,055","5,636",237,"16,654","8,084","8,569","14,389","2,900","8,041"
1985,"18,033","366,904","240,911","2,348","14,014","66,483","3,343","9,885","247,506","187,188","16,891","22,836","108,111","43,196","7,631","2,390","109,251","49,282","17,520","42,346","1,174","7,380","31,482","8,297",324,"23,508","9,005","14,503","17,254","3,082","11,108"
1986,"17,876","357,613","239,097","2,414","11,642","67,419","3,358","9,481","239,915","173,417","16,228","23,670","117,697","48,972","8,093","2,845","126,813","53,786","19,360","53,507","1,409","11,881","29,395","9,573",432,"20,253","9,956","10,297","10,245","3,611","9,491"
1987,"17,504","269,614","178,716","2,209","8,812","53,144","3,026","6,858","175,862","120,994","12,129","22,059","93,753","38,422","6,560","2,085","95,196","42,621","15,256","37,173","1,057","4,029","5,700","7,341",248,"-1,393","7,718","-9,112","-4,841","3,257","8,515"
1988,"16,758","292,781","193,743","2,528","9,923","57,323","3,659","7,621","195,989","132,792","13,850","26,576","96,791","40,748","7,177","2,923","97,078","43,762","15,866","37,313","1,422","2,090","23,442","9,746",630,"14,325","9,809","4,516","12,135","2,690","9,299"
1989,"15,797","452,978","300,571","4,095","15,498","82,712","4,445","13,514","316,606","207,081","25,693","47,677","136,372","62,739","10,480","4,050","139,214","60,663","21,961","56,589","3,778","2,082","20,373","10,724",344,"9,992","15,645","-5,653","8,137","2,433","9,078"
1990,"15,159","438,110","292,668","4,485","12,886","78,830","5,481","13,017","296,775","200,322","23,399","36,474","141,335","63,085","11,672","4,833","144,648","62,577","22,482","59,590","2,811","1,185","19,587","9,064",744,"11,268","15,158","-3,890","9,627","2,506","7,948"
1991,"14,483","387,194","259,677","4,092","9,303","75,786","4,750","9,379","237,468","171,603","14,652","23,369","149,726","67,482","13,058","5,964","151,843","62,949","22,285","66,608","2,754","5,147","29,018","11,075",831,"18,774","16,119","2,655","13,905","1,853","9,255"
1992,"13,854","333,334","216,956","3,855","7,544","70,073","5,540","5,978","168,116","116,058","9,455","18,925","165,218","72,450","14,256","6,267","156,628","64,433","22,166","70,029","3,110","6,453","56,217","18,242",715,"38,689","16,238","22,452","33,160",966,"11,127"
1993,"13,222","311,474","200,304","3,431","6,262","64,658","6,990","4,887","140,527","87,648","8,624","21,235","170,947","83,718","15,235","9,257","166,920","68,167","22,554","76,198","3,827","4,950","71,533","23,714","2,066","49,885","24,326","25,560","44,236",669,"8,841"
1994,"12,605","321,483","210,262","3,180","5,158","65,375","7,813","6,542","144,875","85,162","12,959","23,786","176,608","82,535","15,660","6,195","167,534","70,380","22,882","74,272","3,689",-476,"77,624","26,200",-438,"50,986","30,687","20,299","51,732",566,"6,403"
1995,"11,972","373,716","252,073","3,748","6,245","70,136","8,277","9,888","190,864","111,371","19,220","30,717","182,852","89,605","16,418","6,361","171,651","73,048","23,627","74,976","4,351","1,004","86,994","30,304",-295,"56,395","35,137","21,258","56,054",472,"7,657"
1996,"11,454","385,507","262,428","4,946","5,451","69,273","8,544","9,343","192,330","114,190","17,435","32,360","193,177","101,040","17,336","7,513","186,552","77,227","24,833","84,497","5,638","2,059","90,722","31,216",-158,"59,348","44,600","14,748","58,047",641,"7,268"
1997,"10,923","409,411","279,401","6,998","6,442","69,376","10,060","13,805","205,805","120,031","21,250","33,751","203,607","111,488","18,983","8,033","191,259","81,755","25,793","83,710","5,579","3,104","104,676","36,729",14,"67,961","47,498","20,464","65,818",516,"7,833"
1998,"10,464","433,499","292,182","8,478","6,658","73,751","10,139","15,321","221,309","124,109","23,195","39,012","212,190","133,386","20,302","7,671","218,127","90,021","28,447","99,659","7,884","5,589","108,896","37,285",424,"72,034","47,570","24,464","67,810",625,"6,235"
1999,"10,222","441,317","301,148","9,746","6,021","80,300","7,048","12,627","218,036","119,630","22,265","44,191","223,281","154,702","22,103","10,252","228,520","96,549","30,197","101,774","7,466","1,617","127,714","45,486",174,"82,403","58,183","24,220","81,187",781,"6,256"
2000,"9,904","511,932","358,482","10,534","6,530","88,449","9,426","13,925","276,586","145,765","28,621","59,351","235,347","165,628","24,410","12,156","242,310","100,234","31,394","110,682","8,134","-1,484","125,122","43,587",-35,"81,500","59,715","21,785","82,579",746,"6,519"
